LOCATION,TIME,Value (Average - USD)
AUS,1991,42309.381475963
AUS,1992,43173.7713335452
AUS,1993,43578.2414216826
AUS,1994,43873.8569453328
AUS,1995,43715.0
AUS,1996,44976.27559367
AUS,1997,46355.5550944577
AUS,1998,46999.635104298
AUS,1999,48064.8702398545
AUS,2000,48213.0886758407
AUS,2001,48693.3022958347
AUS,2002,49140.6312919188
AUS,2003,49849.375153206
AUS,2004,51414.3183931236
AUS,2005,52013.9397458168
AUS,2006,52368.0
AUS,2007,53805.0
AUS,2008,54149.0
AUS,2009,53644.0
AUS,2010,55536.0
AUS,2011,57361.0
AUS,2012,57752.0
AUS,2013,57579.0
AUS,2014,58102.0
AUS,2015,57744.0
AUS,2016,57885.0
AUS,2017,57619.0
AUS,2018,57843.0
AUS,2019,58620.0
AUS,2020,60377.0
AUS,2021,60681.4985470798
AUS,2022,59407.8899794982
AUS,2022,51322.50358006256
AUS,2023,51721.59879225088
AUS,2024,52120.694004439196
AUS,2025,52519.78921662752
AUS,2026,52918.884428815836
AUS,2027,53317.97964100415
AUS,2028,53717.07485319248
AUS,2029,54116.17006538079
AUS,2030,54515.26527756911
AUT,1991,52697.396613846
AUT,1992,53759.0566496298
AUT,1993,54197.3697073466
AUT,1994,54743.42405879
AUT,1995,55184.0
AUT,1996,54819.6165178154
AUT,1997,54346.9450542579
AUT,1998,56101.1425172093
AUT,1999,57354.8995810643
AUT,2000,57529.017471462
AUT,2001,57344.6595639472
AUT,2002,58229.1677845208
AUT,2003,58368.8732080416
AUT,2004,59473.2547857365
AUT,2005,59801.3699326072
AUT,2006,60698.0
AUT,2007,61047.0
AUT,2008,62081.0
AUT,2009,63135.0
AUT,2010,62831.0
AUT,2011,62159.0
AUT,2012,62515.0
AUT,2013,62568.0
AUT,2014,62801.0
AUT,2015,63231.0
AUT,2016,63860.0
AUT,2017,63856.0
AUT,2018,64101.0
AUT,2019,64623.0
AUT,2020,64648.0
AUT,2021,65402.3162965476
AUT,2022,63801.6204977341
AUT,2022,45095.37406697719
AUT,2023,45494.4692791655
AUT,2024,45893.56449135382
AUT,2025,46292.659703542144
AUT,2026,46691.75491573046
AUT,2027,47090.85012791878
AUT,2028,47489.94534010709
AUT,2029,47889.04055229542
AUT,2030,48288.13576448373
BEL,1991,53018.6391581166
BEL,1992,54718.7288916038
BEL,1993,55868.8318085494
BEL,1994,56952.7771137702
BEL,1995,56759.0
BEL,1996,57470.5568655042
BEL,1997,58203.3751399722
BEL,1998,58238.2834007068
BEL,1999,61484.4122133103
BEL,2000,60929.1405210416
BEL,2001,61114.8303582574
BEL,2002,62692.5857677577
BEL,2003,63066.2951835172
BEL,2004,62735.500110825
BEL,2005,62139.9483473314
BEL,2006,62562.0
BEL,2007,62446.0
BEL,2008,62715.0
BEL,2009,63590.0
BEL,2010,63295.0
BEL,2011,63944.0
BEL,2012,64461.0
BEL,2013,65099.0
BEL,2014,65461.0
BEL,2015,65017.0
BEL,2016,65157.0
BEL,2017,64700.0
BEL,2018,65083.0
BEL,2019,65700.0
BEL,2020,63677.0
BEL,2021,65520.8213051768
BEL,2022,64847.6238808182
BEL,2022,50699.790628754025
BEL,2023,51098.88584094234
BEL,2024,51497.981053130665
BEL,2025,51897.07626531898
BEL,2026,52296.1714775073
BEL,2027,52695.26668969562
BEL,2028,53094.36190188394
BEL,2029,53493.457114072255
BEL,2030,53892.55232626057
CAN,1991,42426.3028473057
CAN,1992,43045.9007668797
CAN,1993,42952.7188935605
CAN,1994,42464.1758383079
CAN,1995,42369.0
CAN,1996,42745.0912504135
CAN,1997,44053.7666057661
CAN,1998,44793.2060093325
CAN,1999,45157.2301888622
CAN,2000,46526.3392846538
CAN,2001,46335.1849867502
CAN,2002,45961.5604238959
CAN,2003,45975.7501748327
CAN,2004,46969.1181742113
CAN,2005,48325.7446445807
CAN,2006,49797.0
CAN,2007,51127.0
CAN,2008,52025.0
CAN,2009,52363.0
CAN,2010,52457.0
CAN,2011,53088.0
CAN,2012,53717.0
CAN,2013,54286.0
CAN,2014,54995.0
CAN,2015,55400.0
CAN,2016,54350.0
CAN,2017,55122.0
CAN,2018,56083.0
CAN,2019,56370.0
CAN,2020,59160.0
CAN,2021,59568.7827892649
CAN,2022,59050.4072819159
CAN,2022,60040.48489838209
CAN,2023,60439.580110570416
CAN,2024,60838.67532275873
CAN,2025,61237.77053494705
CAN,2026,61636.865747135365
CAN,2027,62035.96095932368
CAN,2028,62435.056171512
CAN,2029,62834.15138370032
CAN,2030,63233.24659588864
CHE,1991,56464.6252645637
CHE,1992,56948.8043189322
CHE,1993,57572.4593793884
CHE,1994,58283.2104924746
CHE,1995,58316.0
CHE,1996,57610.9163833236
CHE,1997,58645.7856884014
CHE,1998,58814.0643868852
CHE,1999,59892.0756353912
CHE,2000,60767.7071013052
CHE,2001,64157.5199646229
CHE,2002,65448.0160357358
CHE,2003,65111.6354000731
CHE,2004,64650.6819829416
CHE,2005,65657.7464506489
CHE,2006,65847.0
CHE,2007,66634.0
CHE,2008,66983.0
CHE,2009,68319.0
CHE,2010,67961.0
CHE,2011,68401.0
CHE,2012,69383.0
CHE,2013,70280.0
CHE,2014,70412.0
CHE,2015,70797.0
CHE,2016,70468.0
CHE,2017,70087.0
CHE,2018,69892.0
CHE,2019,71189.0
CHE,2020,69728.0
CHE,2021,72358.4396707178
CHE,2022,72993.0243352433
CHE,2022,59417.771947073554
CHE,2023,59816.86715926188
CHE,2024,60215.962371450194
CHE,2025,60615.05758363851
CHE,2026,61014.15279582683
CHE,2027,61413.24800801514
CHE,2028,61812.34322020347
CHE,2029,62211.438432391784
CHE,2030,62610.5336445801
CHL,1995,17383.0
CHL,1996,17383.3611751847
CHL,1997,18600.4342546912
CHL,1998,19515.2073858431
CHL,1999,20533.3614952805
CHL,2000,20514.9086069056
CHL,2001,21090.0060113091
CHL,2002,21378.5117508051
CHL,2003,21710.7019802697
CHL,2004,21258.8105437339
CHL,2005,21069.0686210518
CHL,2006,21589.0
CHL,2007,22100.0
CHL,2008,22505.0
CHL,2009,24588.0
CHL,2010,27871.0
CHL,2011,28639.0
CHL,2012,29661.0
CHL,2013,30530.0
CHL,2014,30657.0
CHL,2015,30615.0
CHL,2016,31834.0
CHL,2017,30847.0
CHL,2018,32348.0
CHL,2019,33190.0
CHL,2020,31369.0
CHL,2021,33042.3321032483
CHL,2022,43227.23521305157
CHL,2023,43626.33042523989
CHL,2024,44025.42563742821
CHL,2025,44424.52084961653
CHL,2026,44823.616061804845
CHL,2027,45222.71127399316
CHL,2028,45621.806486181486
CHL,2029,46020.9016983698
CHL,2030,46419.99691055812
COL,1995,16614.0
COL,2005,16614.182680813
COL,2006,16958.0
COL,2007,16848.0
COL,2008,18496.0
COL,2009,19172.0
COL,2010,19800.0
COL,2011,19693.0
COL,2012,20172.0
COL,2013,20588.0
COL,2014,20602.0
COL,2015,20685.0
COL,2016,20488.0
COL,2017,21020.0
COL,2018,21821.0
COL,2019,21751.0
COL,2020,24681.0
COL,2021,22248.491555719
COL,2022,43849.94816436011
COL,2023,44249.04337654843
COL,2024,44648.13858873675
COL,2025,45047.23380092507
COL,2026,45446.32901311338
COL,2027,45845.4242253017
COL,2028,46244.519437490024
COL,2029,46643.61464967834
COL,2030,47042.70986186666
CRI,1991,12784.297574998
CRI,1992,13114.4640062442
CRI,1993,13999.4385019019
CRI,1994,16987.2905137985
CRI,1995,16716.0
CRI,1996,16870.6148698035
CRI,1997,16856.2202389535
CRI,1998,17093.3904802522
CRI,1999,17857.0431091067
CRI,2000,18159.5106498901
CRI,2001,18658.4303309476
CRI,2002,18844.7087462418
CRI,2003,18244.2030367978
CRI,2004,18298.3531408796
CRI,2005,16702.9873563448
CRI,2006,17300.0
CRI,2007,17069.0
CRI,2008,17725.0
CRI,2009,20177.0
CRI,2010,21062.0
CRI,2011,22174.0
CRI,2012,22579.0
CRI,2013,24442.0
CRI,2014,24510.0
CRI,2015,26186.0
CRI,2016,27364.0
CRI,2017,27020.0
CRI,2018,27709.0
CRI,2019,28524.0
CRI,2020,31341.0
CRI,2021,31117.8342634137
CRI,2022,31395.68913818936
CRI,2023,31794.784350377675
CRI,2024,32193.87956256599
CRI,2025,32592.97477475431
CRI,2026,32992.06998694263
CRI,2027,33391.16519913095
CRI,2028,33790.260411319265
CRI,2029,34189.35562350759
CRI,2030,34588.450835695905
CZE,1995,16612.0
CZE,1996,18320.9899572178
CZE,1997,18606.9390451609
CZE,1998,18603.8261309658
CZE,1999,19344.549319197
CZE,2000,20070.4824207018
CZE,2001,21105.6074778514
CZE,2002,22382.4226367986
CZE,2003,24089.0418754447
CZE,2004,25174.1038662057
CZE,2005,25914.0680590434
CZE,2006,26952.0
CZE,2007,27757.0
CZE,2008,27906.0
CZE,2009,27793.0
CZE,2010,28648.0
CZE,2011,28882.0
CZE,2012,28934.0
CZE,2013,28754.0
CZE,2014,29360.0
CZE,2015,30224.0
CZE,2016,31291.0
CZE,2017,32891.0
CZE,2018,34633.0
CZE,2019,36071.0
CZE,2020,35552.0
CZE,2021,36269.7079920766
CZE,2022,33475.5197359288
CZE,2022,35754.67979734912
CZE,2023,36153.775009537436
CZE,2024,36552.87022172575
CZE,2025,36951.965433914076
CZE,2026,37351.06064610239
CZE,2027,37750.15585829071
CZE,2028,38149.25107047903
CZE,2029,38548.34628266735
CZE,2030,38947.441494855666
DEU,1991,45193.2565126118
DEU,1992,47965.9727828687
DEU,1993,48281.8621513076
DEU,1994,48388.1191166808
DEU,1995,49414.0
DEU,1996,49981.5714478053
DEU,1997,49770.3659795712
DEU,1998,50379.9693201234
DEU,1999,51050.1047921484
DEU,2000,51344.1011892339
DEU,2001,51718.7971800958
DEU,2002,52022.6832334872
DEU,2003,52195.6100297449
DEU,2004,52188.8590123583
DEU,2005,52377.6526690875
DEU,2006,52367.0
DEU,2007,52208.0
DEU,2008,52442.0
DEU,2009,52453.0
DEU,2010,52912.0
DEU,2011,53980.0
DEU,2012,54699.0
DEU,2013,55215.0
DEU,2014,56141.0
DEU,2015,57431.0
DEU,2016,58311.0
DEU,2017,58924.0
DEU,2018,59750.0
DEU,2019,60732.0
DEU,2020,60309.0
DEU,2021,60291.2417705174
DEU,2022,58940.3277991669
DEU,2022,55058.78128791379
DEU,2023,55457.87650010211
DEU,2024,55856.971712290426
DEU,2025,56256.06692447874
DEU,2026,56655.162136667066
DEU,2027,57054.25734885538
DEU,2028,57453.3525610437
DEU,2029,57852.44777323202
DEU,2030,58251.54298542034
DNK,1991,47454.3120941348
DNK,1992,49053.2603836945
DNK,1993,49596.1068321572
DNK,1994,47871.6287216169
DNK,1995,48894.0
DNK,1996,49781.4447609201
DNK,1997,50577.4470700282
DNK,1998,51462.3353698433
DNK,1999,52066.9546693479
DNK,2000,52018.8800522512
DNK,2001,52328.6718586274
DNK,2002,53520.3282100163
DNK,2003,54841.2509195781
DNK,2004,56061.8068734798
DNK,2005,57030.2441996056
DNK,2006,57991.0
DNK,2007,58638.0
DNK,2008,59414.0
DNK,2009,60853.0
DNK,2010,61537.0
DNK,2011,61213.0
DNK,2012,61121.0
DNK,2013,61548.0
DNK,2014,62723.0
DNK,2015,63828.0
DNK,2016,63894.0
DNK,2017,64281.0
DNK,2018,64765.0
DNK,2019,65222.0
DNK,2020,66203.0
DNK,2021,66503.047789185
DNK,2022,64126.6516163185
DNK,2022,52567.92948267964
DNK,2023,52967.024694867956
DNK,2024,53366.11990705627
DNK,2025,53765.215119244596
DNK,2026,54164.31033143291
DNK,2027,54563.40554362123
DNK,2028,54962.50075580955
DNK,2029,55361.59596799787
DNK,2030,55760.691180186186
ESP,1991,41351.5259925209
ESP,1992,42879.6507611101
ESP,1993,43564.6012700928
ESP,1994,44019.5629260045
ESP,1995,43146.0
ESP,1996,43730.4093326735
ESP,1997,43777.2864232103
ESP,1998,44011.3171352774
ESP,1999,43985.4991712143
ESP,2000,43029.08323482
ESP,2001,42803.9103514026
ESP,2002,43018.4693233152
ESP,2003,42799.7042485881
ESP,2004,42254.9948916658
ESP,2005,42437.1974102839
ESP,2006,42235.0
ESP,2007,42692.0
ESP,2008,44201.0
ESP,2009,46983.0
ESP,2010,46538.0
ESP,2011,45707.0
ESP,2012,44427.0
ESP,2013,44431.0
ESP,2014,44294.0
ESP,2015,44957.0
ESP,2016,44704.0
ESP,2017,44123.0
ESP,2018,43975.0
ESP,2019,44448.0
ESP,2020,43828.0
ESP,2021,44443.8899670243
ESP,2022,42859.3360397206
ESP,2022,56304.20719053087
ESP,2023,56703.302402719186
ESP,2024,57102.3976149075
ESP,2025,57501.49282709582
ESP,2026,57900.588039284135
ESP,2027,58299.68325147246
ESP,2028,58698.778463660776
ESP,2029,59097.8736758491
ESP,2030,59496.968888037416
EST,1991,10671.3012112055
EST,1992,10671.3012112055
EST,1993,10671.3012112055
EST,1994,10671.3012112055
EST,1995,10186.0
EST,1996,10838.1982116394
EST,1997,11838.4147296476
EST,1998,12637.1418221907
EST,1999,13189.7029181938
EST,2000,14253.9989610863
EST,2001,14756.028021818
EST,2002,15621.9883688403
EST,2003,17131.0628228728
EST,2004,18486.6409697089
EST,2005,19715.3330989997
EST,2006,21504.0
EST,2007,25012.0
EST,2008,25382.0
EST,2009,24704.0
EST,2010,24461.0
EST,2011,23907.0
EST,2012,24256.0
EST,2013,24859.0
EST,2014,26232.0
EST,2015,27434.0
EST,2016,28837.0
EST,2017,29500.0
EST,2018,31391.0
EST,2019,33006.0
EST,2020,35128.0
EST,2021,37317.8229724108
EST,2022,34704.5715238033
EST,2022,38868.24455389181
EST,2023,39267.33976608013
EST,2024,39666.434978268444
EST,2025,40065.53019045677
EST,2026,40464.625402645084
EST,2027,40863.7206148334
EST,2028,41262.81582702172
EST,2029,41661.91103921004
EST,2030,42061.00625139836
FIN,1991,39306.7189611565
FIN,1992,38712.9528316483
FIN,1993,37357.3276241361
FIN,1994,37886.7819975668
FIN,1995,39377.0
FIN,1996,40279.3766434974
FIN,1997,40313.6913531232
FIN,1998,41377.9275913195
FIN,1999,42345.8186344546
FIN,2000,43072.8440388183
FIN,2001,43299.4123909012
