LOCATION,SUBJECT,TIME,Value (Housing - IDX2015)
AUS,NOMINAL,1970,2.55237970789248
AUS,NOMINAL,1971,2.85135211850853
AUS,NOMINAL,1972,3.18366717734074
AUS,NOMINAL,1973,3.83718307899072
AUS,NOMINAL,1974,4.69019915810017
AUS,NOMINAL,1975,5.20200880556584
AUS,NOMINAL,1976,5.79384080833559
AUS,NOMINAL,1977,6.26786212135211
AUS,NOMINAL,1978,6.59017438577132
AUS,NOMINAL,1979,7.46041749970317
AUS,NOMINAL,1980,8.43457853337019
AUS,NOMINAL,1981,9.70771197782605
AUS,NOMINAL,1982,10.0550312282778
AUS,NOMINAL,1983,10.6296361962251
AUS,NOMINAL,1984,11.8538670902174
AUS,NOMINAL,1985,13.0619823709887
AUS,NOMINAL,1986,13.9702528799424
AUS,NOMINAL,1987,14.7789322108205
AUS,NOMINAL,1988,18.1088387994144
AUS,NOMINAL,1989,22.5876027086384
AUS,NOMINAL,1990,22.9336440702782
AUS,NOMINAL,1991,23.5288352122987
AUS,NOMINAL,1992,23.8887182284041
AUS,NOMINAL,1993,24.5115926793558
AUS,NOMINAL,1994,25.3895490483163
AUS,NOMINAL,1995,25.6960428257687
AUS,NOMINAL,1996,25.9036676427526
AUS,NOMINAL,1997,26.9417917276721
AUS,NOMINAL,1998,28.9211483162519
AUS,NOMINAL,1999,31.0191476573939
AUS,NOMINAL,2000,33.5956727672036
AUS,NOMINAL,2001,37.3685122986824
AUS,NOMINAL,2002,44.3723894582724
AUS,NOMINAL,2003,52.3756566617863
AUS,NOMINAL,2004,55.6470000000001
AUS,NOMINAL,2005,56.6647500000001
AUS,NOMINAL,2006,60.5795000000001
AUS,NOMINAL,2007,66.9602500000001
AUS,NOMINAL,2008,69.6027500000001
AUS,NOMINAL,2009,72.4212500000001
AUS,NOMINAL,2010,80.8770000000002
AUS,NOMINAL,2011,79.1347500000001
AUS,NOMINAL,2012,78.8802500000001
AUS,NOMINAL,2013,84.1065000000001
AUS,NOMINAL,2014,91.7202500000002
AUS,NOMINAL,2015,100.0
AUS,NOMINAL,2016,105.5
AUS,NOMINAL,2017,114.30825
AUS,NOMINAL,2018,112.66375
AUS,NOMINAL,2019,108.08375
AUS,NOMINAL,2020,113.9165
AUS,NOMINAL,2021,133.763749998987
AUS,NOMINAL,2022,109.14546254977755
AUS,NOMINAL,2023,110.70694708419283
AUS,NOMINAL,2024,112.26843161860812
AUS,NOMINAL,2025,113.82991615302339
AUS,NOMINAL,2026,115.39140068743868
AUS,NOMINAL,2027,116.95288522185396
AUS,NOMINAL,2028,118.51436975626925
AUS,NOMINAL,2029,120.07585429068452
AUS,NOMINAL,2030,121.63733882509979
AUS,PRICEINCOME,1970,56.070563937556
AUS,PRICEINCOME,1971,57.5336610404967
AUS,PRICEINCOME,1972,58.5415111806666
AUS,PRICEINCOME,1973,60.6222912045289
AUS,PRICEINCOME,1974,61.5311905715587
AUS,PRICEINCOME,1975,57.2195850022864
AUS,PRICEINCOME,1976,56.9086662933858
AUS,PRICEINCOME,1977,55.773124032112
AUS,PRICEINCOME,1978,53.1555134500852
AUS,PRICEINCOME,1979,53.7231085131301
AUS,PRICEINCOME,1980,54.6345468257282
AUS,PRICEINCOME,1981,56.3392366529555
AUS,PRICEINCOME,1982,52.7441130639953
AUS,PRICEINCOME,1983,51.5911397080661
AUS,PRICEINCOME,1984,52.9528794249183
AUS,PRICEINCOME,1985,54.9166820777052
AUS,PRICEINCOME,1986,54.8673459407119
AUS,PRICEINCOME,1987,54.528222608514
AUS,PRICEINCOME,1988,61.2788919557119
AUS,PRICEINCOME,1989,69.1183654159919
AUS,PRICEINCOME,1990,65.2278774635193
AUS,PRICEINCOME,1991,66.401453149534
AUS,PRICEINCOME,1992,65.478179593265
AUS,PRICEINCOME,1993,65.4857302861802
AUS,PRICEINCOME,1994,64.8137211841569
AUS,PRICEINCOME,1995,62.9482587694607
AUS,PRICEINCOME,1996,60.3281555796079
AUS,PRICEINCOME,1997,60.5613872186063
AUS,PRICEINCOME,1998,64.2418386763448
AUS,PRICEINCOME,1999,65.8670246370738
AUS,PRICEINCOME,2000,67.5521437785346
AUS,PRICEINCOME,2001,69.4886454007653
AUS,PRICEINCOME,2002,80.9522951386501
AUS,PRICEINCOME,2003,91.4274219696394
AUS,PRICEINCOME,2004,90.8647096803031
AUS,PRICEINCOME,2005,88.012359612119
AUS,PRICEINCOME,2006,89.4827779994794
AUS,PRICEINCOME,2007,91.1379447100991
AUS,PRICEINCOME,2008,88.5007289511975
AUS,PRICEINCOME,2009,87.6279693433183
AUS,PRICEINCOME,2010,94.0808443936552
AUS,PRICEINCOME,2011,86.5098416842017
AUS,PRICEINCOME,2012,85.0562598929382
AUS,PRICEINCOME,2013,88.3212206413335
AUS,PRICEINCOME,2014,92.9338959467252
AUS,PRICEINCOME,2015,100.0
AUS,PRICEINCOME,2016,105.005076766349
AUS,PRICEINCOME,2017,112.311936448261
AUS,PRICEINCOME,2018,107.675256966637
AUS,PRICEINCOME,2019,100.625383269489
AUS,PRICEINCOME,2020,100.180358035204
AUS,PRICEINCOME,2021,113.734474077182
AUS,PRICEINCOME,2022,134.00130579098897
AUS,PRICEINCOME,2023,135.56279032540425
AUS,PRICEINCOME,2024,137.12427485981954
AUS,PRICEINCOME,2025,138.6857593942348
AUS,PRICEINCOME,2026,140.24724392865008
AUS,PRICEINCOME,2027,141.80872846306536
AUS,PRICEINCOME,2028,143.37021299748065
AUS,PRICEINCOME,2029,144.93169753189594
AUS,PRICEINCOME,2030,146.4931820663112
AUS,PRICERENT,1973,40.9202221985671
AUS,PRICERENT,1974,45.0634623302121
AUS,PRICERENT,1975,42.9199683099628
AUS,PRICERENT,1976,41.7044257138308
AUS,PRICERENT,1977,40.6310458761469
AUS,PRICERENT,1978,39.4633861958109
AUS,PRICERENT,1979,41.1628412061575
AUS,PRICERENT,1980,43.5727941118236
AUS,PRICERENT,1981,46.4066174094464
AUS,PRICERENT,1982,43.0479151313726
AUS,PRICERENT,1983,41.7513895663949
AUS,PRICERENT,1984,43.3761365352842
AUS,PRICERENT,1985,44.062348700885
AUS,PRICERENT,1986,42.7376587995127
AUS,PRICERENT,1987,40.9724729467807
AUS,PRICERENT,1988,44.9664946955177
AUS,PRICERENT,1989,51.3443623048437
AUS,PRICERENT,1990,49.1966511335854
AUS,PRICERENT,1991,48.8618400597819
AUS,PRICERENT,1992,49.1467720823632
AUS,PRICERENT,1993,50.1926513925275
AUS,PRICERENT,1994,51.6288812267685
AUS,PRICERENT,1995,51.3755050669354
AUS,PRICERENT,1996,50.2538991706674
AUS,PRICERENT,1997,50.7804798595135
AUS,PRICERENT,1998,52.9008379269779
AUS,PRICERENT,1999,55.2586698298598
AUS,PRICERENT,2000,58.0622630943806
AUS,PRICERENT,2001,62.6188612348013
AUS,PRICERENT,2002,72.558488241896
AUS,PRICERENT,2003,84.0717119706622
AUS,PRICERENT,2004,87.1543627905174
AUS,PRICERENT,2005,86.8240207526831
AUS,PRICERENT,2006,89.8901063150218
AUS,PRICERENT,2007,94.1712125595452
AUS,PRICERENT,2008,90.9112137362711
AUS,PRICERENT,2009,88.5577039792338
AUS,PRICERENT,2010,94.8306567230969
AUS,PRICERENT,2011,88.7311747873542
AUS,PRICERENT,2012,84.9053437188063
AUS,PRICERENT,2013,87.6314579494043
AUS,PRICERENT,2014,93.2282591599307
AUS,PRICERENT,2015,100.0
